학과명,학년,학기,전공필수,전공심화
국제관계학,2,1,정치학개론,
국제관계학,2,2,"한국정치와 외교, 국제관계사, 정치학방법론",
국제관계학,3,1,"국제정치론, 정치사상사, 비교정치론",
국제관계학,3,2,국제정치경제론,"동아시아국제관계사, 국제기구, 정치과정론, 기술과 정치변동, 비전통안보연구, 정치경제론"
국제관계학,4,1,외교정책결정론,"미국정치론, 러시아정치론, 북한정치와 사회, 중국정치론, 일본정치론, 유럽정치론"
국제관계학,4,2,국제갈등론,"국제사회쟁점연구, 한미관계연구, 남북관계연구, 군사실무연구"
국방경영학,2,1,경영학개론,
국방경영학,2,2,"조직행위론, 회계원리, 미시경제학",
국방경영학,3,1,"재무관리, 거시경제학, 생산관리",
국방경영학,3,2,인적자원관리,"경영협상론, 윤리경영, 공공경제학, 경영과학, 마케팅, 현대경영이론"
국방경영학,4,1,경경과학,"조직개발과 혁신, 국제경영, 게임이론, 사회과학연구방법론, 경영자료분석론, 계량경제학"
국방경영학,4,2,경영전략,"국방경영연구, 국방혁신연구, 국방경제연구"
항공우주정책학,2,1,행정학개론,
항공우주정책학,2,2,"행정법, 정책과정론, 항공교통개론",
항공우주정책학,3,1,"국제법, 항공안전론, 공역체계관리론",
항공우주정책학,3,2,항공안전 및 보안법,"항공운송관리, 항공기 제원 및 성능, 항공운송법, 항공우주기상학, 항행안전시설 및 공중항법, 갈등관리론"
항공우주정책학,4,1,공항운영관리론,"항공보안론, 항공물류개론, 항공통신, 정책분석론, 항공우주산업론, 감항인증"
항공우주정책학,4,2,항공우주정채론,"항공우주법특수문제연구, 항공우주정책사례연구"
컴퓨터과학,2,1,"프로그래밍기초, 이산수학",
컴퓨터과학,2,2,"자료구조, 데이터통신, 컴퓨터구조론",
컴퓨터과학,3,1,"알고리즘, 네트워크프로그래밍, 시스템프로그래밍",
컴퓨터과학,3,2,데이터베이스,"운영체제, 데이터과학(빅데이터), 정보보호론, 암호학 및 실습"
컴퓨터과학,4,1,인공지능,"임베디드시스템응용, 클라우드&웹컴퓨팅응용, 시스템 보안, 네트워크 보안"
컴퓨터과학,4,2,,"컴퓨터 융합응용, 해킹과 방어실습"
항공우주공학,2,1,"공업수학I, 재료역학",
항공우주공학,2,2,"열역학, 동역학, 항공우주 수치해석",
항공우주공학,3,1,"항공역학 및 실험, 항공우주비행체, 구조역학, 항공우주제어공학",
항공우주공학,3,2,분사추진기관,"압축성유체역학, 비행동역학 및 제어, 압축성유체역학, 우주역학"
항공우주공학,4,1,항공우주공학실험,"항공기 구조설계, 점성유체역학, 전산항공공학, 유도항법, 인공위성시스템, 로켓공학, 인공위성 자세제어, 우주항법시스템"
항공우주공학,4,2,,"항공기 엔진설계, 항공열전달, 극초음속 공기역학, 우주비행체 열전달"
기계공학,2,1,"공업수학I, 고체역학",
기계공학,2,2,"열역학, 공학 수치해석, 컴퓨터이용 기계설계 및 실습",
기계공학,3,1,"유체역학, 공업역학, 컴퓨터이용 가공 및 제작",
기계공학,3,2,기계재료학,"응용유체역학, 기계학습, 기전공학, 기계진동학, 제어공학, 열전달"
기계공학,4,1,기계공학실험,"소음공학, 생체공학, 유한요소해석, 전산유체역학, 가스터빈공학, 로봇공학"
기계공학,4,2,,"자동화시스템 연구, 에너지시스템 연구"
전자통신공학,2,1,"공업수학Ⅰ, 회로이론",
전자통신공학,2,2,"프로그래밍 방법론, 전기전자회로, 신호 및 시스템",
전자통신공학,3,1,"전자기학, 디지털 공학, 전자공학실험",
전자통신공학,3,2,통신공학 및 실험,"전자장, 디지털 신호처리, 로봇공학개론, 아날로그 전자회로"
전자통신공학,4,1,레이더공학,"초고주파공학 및 실험, 디지털 영상처리 및 실험, 디지털 통신 시스템, 전자공학설계, 광전자공학, 전자전과 미래전"
전자통신공학,4,2,,"무선공학 및 실험, 지능 시스템 및 실험"
시스템공학,2,1,"컴퓨터프로그래밍, 과학적관리",
시스템공학,2,2,"공업수학Ⅰ, 시스템최적화 이론 및 실습, 데이터시스템 분석",
시스템공학,3,1,"경제성공학, 시스템운영관리론, 의사결정분석론",
시스템공학,3,2,인간공학 및 실험,"정수최적화 이론 및 알고리즘, 시뮬레이션, 회귀분석 및 실험계획법, 품질관리"
시스템공학,4,1,데이터마이닝,"시스템분석응용 및 실습, 네트워크모형 및 기계학습, 확률시스템분석, 인간기계체계 및 실험, 안전공학, 신뢰성공학"
시스템공학,4,2,,"무기체계 분석·설계, 무기체계 사업관리"
